"Enumeration Name","Contest-ID","Description","Import-only","Comments","ADIF Version","ADIF Status"
"Contest_ID","070-160M-SPRINT","PODXS Great Pumpkin Sprint","","","3.1.7","Released"
"Contest_ID","070-3-DAY","PODXS Three Day Weekend","","","3.1.7","Released"
"Contest_ID","070-31-FLAVORS","PODXS 31 Flavors","","","3.1.7","Released"
"Contest_ID","070-40M-SPRINT","PODXS 40m Firecracker Sprint","","","3.1.7","Released"
"Contest_ID","070-80M-SPRINT","PODXS 80m Jay Hudak Memorial Sprint","","","3.1.7","Released"
"Contest_ID","070-PSKFEST","PODXS PSKFest","","","3.1.7","Released"
"Contest_ID","070-ST-PATS-DAY","PODXS St. Patricks Day","","","3.1.7","Released"
"Contest_ID","070-VALENTINE-SPRINT","PODXS Valentine Sprint","","","3.1.7","Released"
"Contest_ID","10-RTTY","Ten-Meter RTTY Contest (2011 onwards)","","","3.1.7","Released"
"Contest_ID","1010-OPEN-SEASON","Open Season Ten Meter QSO Party","","","3.1.7","Released"
"Contest_ID","7QP","7th-Area QSO Party","","","3.1.7","Released"
"Contest_ID","AL-QSO-PARTY","Alabama QSO Party","","","3.1.7","Released"
"Contest_ID","ALL-ASIAN-DX-CW","JARL All Asian DX Contest (CW)","","","3.1.7","Released"
"Contest_ID","ALL-ASIAN-DX-PHONE","JARL All Asian DX Contest (PHONE)","","","3.1.7","Released"
"Contest_ID","ANARTS-RTTY","ANARTS WW RTTY","","","3.1.7","Released"
"Contest_ID","ANATOLIAN-RTTY","Anatolian WW RTTY","","","3.1.7","Released"
"Contest_ID","AP-SPRINT","Asia - Pacific Sprint","","","3.1.7","Released"
"Contest_ID","AR-QSO-PARTY","Arkansas QSO Party","","","3.1.7","Released"
"Contest_ID","ARI-DX","ARI DX Contest","","","3.1.7","Released"
"Contest_ID","ARI-EME","ARI Italian EME Trophy","","","3.1.7","Released"
"Contest_ID","ARI-IAC-13CM","ARI Italian Activity Contest (13cm+)","","","3.1.7","Released"
"Contest_ID","ARI-IAC-23CM","ARI Italian Activity Contest (23cm)","","","3.1.7","Released"
"Contest_ID","ARI-IAC-6M","ARI Italian Activity Contest (6m)","","","3.1.7","Released"
"Contest_ID","ARI-IAC-UHF","ARI Italian Activity Contest (UHF)","","","3.1.7","Released"
"Contest_ID","ARI-IAC-VHF","ARI Italian Activity Contest (VHF)","","","3.1.7","Released"
"Contest_ID","ARRL-10","ARRL 10 Meter Contest","","","3.1.7","Released"
"Contest_ID","ARRL-10-GHZ","ARRL 10 GHz and Up Contest","","","3.1.7","Released"
"Contest_ID","ARRL-160","ARRL 160 Meter Contest","","","3.1.7","Released"
"Contest_ID","ARRL-222","ARRL 222 MHz and Up Distance Contest","","","3.1.7","Released"
"Contest_ID","ARRL-DIGI","ARRL International Digital Contest","","","3.1.7","Released"
"Contest_ID","ARRL-DX-CW","ARRL International DX Contest (CW)","","","3.1.7","Released"
"Contest_ID","ARRL-DX-SSB","ARRL International DX Contest (Phone)","","","3.1.7","Released"
"Contest_ID","ARRL-EME","ARRL EME contest","","","3.1.7","Released"
"Contest_ID","ARRL-FIELD-DAY","ARRL Field Day","","","3.1.7","Released"
"Contest_ID","ARRL-RR-CW","ARRL Rookie Roundup (CW)","","","3.1.7","Released"
"Contest_ID","ARRL-RR-RTTY","ARRL Rookie Roundup (RTTY)","","","3.1.7","Released"
"Contest_ID","ARRL-RR-SSB","ARRL Rookie Roundup (Phone)","","","3.1.7","Released"
"Contest_ID","ARRL-RTTY","ARRL RTTY Round-Up","","","3.1.7","Released"
"Contest_ID","ARRL-SCR","ARRL School Club Roundup","","","3.1.7","Released"
"Contest_ID","ARRL-SS-CW","ARRL November Sweepstakes (CW)","","","3.1.7","Released"
"Contest_ID","ARRL-SS-SSB","ARRL November Sweepstakes (Phone)","","","3.1.7","Released"
"Contest_ID","ARRL-UHF-AUG","ARRL August UHF Contest","","","3.1.7","Released"
"Contest_ID","ARRL-VHF-JAN","ARRL January VHF Sweepstakes","","","3.1.7","Released"
"Contest_ID","ARRL-VHF-JUN","ARRL June VHF QSO Party","","","3.1.7","Released"
"Contest_ID","ARRL-VHF-SEP","ARRL September VHF QSO Party","","","3.1.7","Released"
"Contest_ID","AZ-QSO-PARTY","Arizona QSO Party","","","3.1.7","Released"
"Contest_ID","BANGGAI-DX","ORARI Banggai DX Contest","","","3.1.7","Released"
"Contest_ID","BARTG-RTTY","BARTG Spring RTTY Contest","","","3.1.7","Released"
"Contest_ID","BARTG-SPRINT","BARTG Sprint Contest","","","3.1.7","Released"
"Contest_ID","BC-QSO-PARTY","British Columbia QSO Party","","","3.1.7","Released"
"Contest_ID","BEKASI-MERDEKA-CONTEST","ORARI Bekasi Merdeka Contest","","","3.1.7","Released"
"Contest_ID","CA-QSO-PARTY","California QSO Party","","","3.1.7","Released"
"Contest_ID","CIS-DX","CIS DX Contest","","","3.1.7","Released"
"Contest_ID","CO-QSO-PARTY","Colorado QSO Party","","","3.1.7","Released"
"Contest_ID","CQ-160-CW","CQ WW 160 Meter DX Contest (CW)","","","3.1.7","Released"
"Contest_ID","CQ-160-SSB","CQ WW 160 Meter DX Contest (SSB)","","","3.1.7","Released"
"Contest_ID","CQ-M","CQ-M International DX Contest","","","3.1.7","Released"
"Contest_ID","CQ-VHF","CQ World-Wide VHF Contest","","","3.1.7","Released"
"Contest_ID","CQ-WPX-CW","CQ WW WPX Contest (CW)","","","3.1.7","Released"
"Contest_ID","CQ-WPX-RTTY","CQ/RJ WW RTTY WPX Contest","","","3.1.7","Released"
"Contest_ID","CQ-WPX-SSB","CQ WW WPX Contest (SSB)","","","3.1.7","Released"
"Contest_ID","CQ-WW-CW","CQ WW DX Contest (CW)","","","3.1.7","Released"
"Contest_ID","CQ-WW-RTTY","CQ/RJ WW RTTY DX Contest","","","3.1.7","Released"
"Contest_ID","CQ-WW-SSB","CQ WW DX Contest (SSB)","","","3.1.7","Released"
"Contest_ID","CT-QSO-PARTY","Connecticut QSO Party","","","3.1.7","Released"
"Contest_ID","CVA-DX-CW","Concurso Verde e Amarelo DX CW Contest","","","3.1.7","Released"
"Contest_ID","CVA-DX-SSB","Concurso Verde e Amarelo DX CW Contest","","","3.1.7","Released"
