"Enumeration Name","Code","DXCC Entity Code","Region","District","Deleted","Import-only","Comments","ADIF Version","ADIF Status"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Northland/Far North","170","Northland","Far North","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Northland/Whangarei","170","Northland","Whangarei","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Northland/Kaipara","170","Northland","Kaipara","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Auckland/Rodney","170","Auckland","Rodney","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Auckland/North Shore","170","Auckland","North Shore","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Auckland/Waitakere","170","Auckland","Waitakere","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Auckland/Auckland","170","Auckland","Auckland","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Auckland/Manukau","170","Auckland","Manukau","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Auckland/Papakura","170","Auckland","Papakura","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Auckland/Franklin","170","Auckland","Franklin","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Waikato/Thames-Coromandel","170","Waikato","Thames-Coromandel","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Waikato/Hauraki","170","Waikato","Hauraki","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Waikato/Waikato","170","Waikato","Waikato","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Waikato/Matamata Piako","170","Waikato","Matamata Piako","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Waikato/Hamilton","170","Waikato","Hamilton","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Waikato/Waipa","170","Waikato","Waipa","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Waikato/Otorohanga","170","Waikato","Otorohanga","","","","3.1.7","Released"
"Secondary_Administrative_Subdivision_Alt","NZ_Regions:Waikato/South Waikato","170","Waikato","South Waikato","","","","3.1.7","Released"
