"Enumeration Name","Submode","Mode","Description","Import-only","Comments","ADIF Version","ADIF Status"
"Submode","8PSK125","PSK","","","","3.1.7","Released"
"Submode","8PSK125F","PSK","","","","3.1.7","Released"
"Submode","8PSK125FL","PSK","","","","3.1.7","Released"
"Submode","8PSK250","PSK","","","","3.1.7","Released"
"Submode","8PSK250F","PSK","","","","3.1.7","Released"
"Submode","8PSK250FL","PSK","","","","3.1.7","Released"
"Submode","8PSK500","PSK","","","","3.1.7","Released"
"Submode","8PSK500F","PSK","","","","3.1.7","Released"
"Submode","8PSK1000","PSK","","","","3.1.7","Released"
"Submode","8PSK1000F","PSK","","","","3.1.7","Released"
"Submode","8PSK1200F","PSK","","","","3.1.7","Released"
"Submode","AMTORFEC","TOR","","","","3.1.7","Released"
"Submode","ASCI","RTTY","","","","3.1.7","Released"
"Submode","C4FM","DIGITALVOICE","C4FM 4-level FSK See the Propagation_Mode enumeration section for examples of representing C4FM voice transmissions.","","","3.1.7","Released"
"Submode","CHIP64","CHIP","","","","3.1.7","Released"
"Submode","CHIP128","CHIP","","","","3.1.7","Released"
"Submode","DMR","DIGITALVOICE","Digital Mobile Radio See the Propagation_Mode enumeration section for examples of representing DMR voice transmissions.","","","3.1.7","Released"
"Submode","DOM-M","DOMINO","","","","3.1.7","Released"
"Submode","DOM4","DOMINO","","","","3.1.7","Released"
"Submode","DOM5","DOMINO","","","","3.1.7","Released"
"Submode","DOM8","DOMINO","","","","3.1.7","Released"
"Submode","DOM11","DOMINO","","","","3.1.7","Released"
"Submode","DOM16","DOMINO","","","","3.1.7","Released"
"Submode","DOM22","DOMINO","","","","3.1.7","Released"
"Submode","DOM44","DOMINO","","","","3.1.7","Released"
"Submode","DOM88","DOMINO","","","","3.1.7","Released"
"Submode","DOMINOEX","DOMINO","","","","3.1.7","Released"
"Submode","DOMINOF","DOMINO","","","","3.1.7","Released"
"Submode","DSTAR","DIGITALVOICE","Digital Smart Technologies for Amateur Radio See the Propagation_Mode enumeration section for examples of representing DSTAR voice transmissions.","","","3.1.7","Released"
"Submode","FMHELL","HELL","","","","3.1.7","Released"
"Submode","FREEDATA","DYNAMIC","Data communications leveraging Codec2 HF modems","","","3.1.7","Released"
"Submode","FREEDV","DIGITALVOICE","Digital voice mode for HF radio implemented with open source","","","3.1.7","Released"
"Submode","FSK31","PSK","","","","3.1.7","Released"
"Submode","FSKH105","HELL","","","","3.1.7","Released"
"Submode","FSKH245","HELL","","","","3.1.7","Released"
"Submode","FSKHELL","HELL","","","","3.1.7","Released"
"Submode","FSQCALL","MFSK","FSQCall protocol used with FSQ (Fast Simple QSO) transmission mode","","","3.1.7","Released"
"Submode","FST4","MFSK","This is a digital mode supported by the WSJT-X software","","","3.1.7","Released"
"Submode","FST4W","MFSK","This is a digital mode supported by the WSJT-X software that is for quasi-beacon transmissions of WSPR-style messages","","","3.1.7","Released"
"Submode","FT2","MFSK","","","","3.1.7","Released"
"Submode","FT4","MFSK","FT4 is a digital mode designed specifically for radio contesting","","","3.1.7","Released"
"Submode","GTOR","TOR","","","","3.1.7","Released"
"Submode","HELL80","HELL","","","","3.1.7","Released"
"Submode","HELLX5","HELL","","","","3.1.7","Released"
"Submode","HELLX9","HELL","","","","3.1.7","Released"
"Submode","HFSK","HELL","","","","3.1.7","Released"
"Submode","ISCAT-A","ISCAT","","","","3.1.7","Released"
"Submode","ISCAT-B","ISCAT","","","","3.1.7","Released"
"Submode","JS8","MFSK","Jordan Sherer designed 8-FSK modulation","","","3.1.7","Released"
"Submode","JT4A","JT4","","","","3.1.7","Released"
"Submode","JT4B","JT4","","","","3.1.7","Released"
