"Field Name","Data Type","Enumeration","Description","Header Field","Minimum Value","Maximum Value","Import-only","Comments","ADIF Version","ADIF Status"
"ADIF_VER","String","","Identifies the version of ADIF used in this file in the format X.Y.Z where ● X is an integer designating the ADIF epoch. ● Y is an integer between 0 and 9 designating the major version. ● Z is an integer between 0 and 9 designating the minor version.","Y","","","","","3.1.7","Released"
"CREATED_TIMESTAMP","String","","Identifies the UTC date and time that the file was created in the format of 15 characters YYYYMMDD HHMMSS where YYYYMMDD is a Date data type. HHMMSS is a 6 character Time data type.","Y","","","","","3.1.7","Released"
"PROGRAMID","String","","Identifies the name of the logger, converter, or utility that created or processed this ADIF content. To help avoid name clashes, the ADIF PROGRAMID Register provides a voluntary list of PROGRAMID values.","Y","","","","","3.1.7","Released"
"PROGRAMVERSION","String","","Identifies the version of the logger, converter, or utility that created or processed this ADIF file.","Y","","","","","3.1.7","Released"
"USERDEFn","String","","Specifies the name and optional enumeration or range of the nth user-defined field, where n is a positive integer. The name of a user-defined field may not ● be an ADIF Field name. ● contain ○ a comma. ○ a colon. ○ an open-angle-bracket or close-angle-bracket character. ○ an open-curly-bracket or close-curly-bracket character. ● begin or end with a space character.","Y","","","","","3.1.7","Released"
"ADDRESS","MultilineString","","the contacted station's complete mailing address: full name, street address, city, postal code, and country","","","","","","3.1.7","Released"
"ADDRESS_INTL","IntlMultilineString","","the contacted station's complete mailing address: full name, street address, city, postal code, and country","","","","","","3.1.7","Released"
"AGE","Number","","the contacted station's operator's age in years in the range 0 to 120 (inclusive)","","0","120","","","3.1.7","Released"
"ALTITUDE","Number","","the height of the contacted station in meters relative to Mean Sea Level (MSL). For example 1.5 km is <ALTITUDE:4>1500 and 10.5 m is <ALTITUDE:4>10.5","","","","","","3.1.7","Released"
"ANT_AZ","Number","","the logging station's antenna azimuth, in degrees with a value between 0 to 360 (inclusive). Values outside this range are import-only and must be normalized for export (e.g. 370 is exported as 10). True north is 0 degrees with values increasing in a clockwise direction.","","0","360","","","3.1.7","Released"
