Enumeration Name	Mode	Submodes	Description	Import-only	Comments	ADIF Version	ADIF Status
Mode	AM					3.1.7	Released
Mode	ARDOP		Amateur Radio Digital Open Protocol			3.1.7	Released
Mode	ATV					3.1.7	Released
Mode	CHIP	CHIP64,CHIP128				3.1.7	Released
Mode	CLO					3.1.7	Released
Mode	CONTESTI					3.1.7	Released
Mode	CW	PCW				3.1.7	Released
Mode	DIGITALVOICE	C4FM,DMR,DSTAR,FREEDV,M17				3.1.7	Released
Mode	DOMINO	DOM-M,DOM4,DOM5,DOM8,DOM11,DOM16,DOM22,DOM44,DOM88,DOMINOEX,DOMINOF				3.1.7	Released
Mode	DYNAMIC	FREEDATA,VARA HF,VARA SATELLITE,VARA FM 1200,VARA FM 9600				3.1.7	Released
Mode	FAX					3.1.7	Released
Mode	FM					3.1.7	Released
Mode	FSK441					3.1.7	Released
Mode	FSK	SCAMP_FAST,SCAMP_SLOW,SCAMP_VSLOW	Frequency shift keying			3.1.7	Released
Mode	FT8		Franke-Taylor design, 8-FSK modulation			3.1.7	Released
Mode	HELL	FMHELL,FSKH105,FSKH245,FSKHELL,HELL80,HELLX5,HELLX9,HFSK,PSKHELL,SLOWHELL				3.1.7	Released
Mode	ISCAT	ISCAT-A,ISCAT-B				3.1.7	Released
Mode	JT4	JT4A,JT4B,JT4C,JT4D,JT4E,JT4F,JT4G				3.1.7	Released
Mode	JT6M					3.1.7	Released
Mode	JT9	JT9-1,JT9-2,JT9-5,JT9-10,JT9-30,JT9A,JT9B,JT9C,JT9D,JT9E,JT9E FAST,JT9F,JT9F FAST,JT9G,JT9G FAST,JT9H,JT9H FAST				3.1.7	Released
Mode	JT44					3.1.7	Released
Mode	JT65	JT65A,JT65B,JT65B2,JT65C,JT65C2				3.1.7	Released
Mode	MFSK	FSQCALL,FST4,FST4W,FT2,FT4,JS8,JTMS,MFSK4,MFSK8,MFSK11,MFSK16,MFSK22,MFSK31,MFSK32,MFSK64,MFSK64L,MFSK128 MFSK128L,Q65				3.1.7	Released
Mode	MSK144					3.1.7	Released
Mode	MTONE	SCAMP_OO,SCAMP_OO_SLW	Single modulated tone			3.1.7	Released
Mode	MT63					3.1.7	Released
Mode	OFDM	RIBBIT_PIX,RIBBIT_SMS	Orthogonal Frequency-Division Multiplexing including COFDM			3.1.7	Released
Mode	OLIVIA	OLIVIA 4/125,OLIVIA 4/250,OLIVIA 8/250,OLIVIA 8/500,OLIVIA 16/500,OLIVIA 16/1000,OLIVIA 32/1000				3.1.7	Released
Mode	OPERA	OPERA-BEACON,OPERA-QSO				3.1.7	Released
Mode	PAC	PAC2,PAC3,PAC4				3.1.7	Released
Mode	PAX	PAX2				3.1.7	Released
Mode	PKT					3.1.7	Released
